conditional_post_id,condition_title,child_title,community_p_a,community_p_b,community_p_b_given_a,community_p_b_given_na,community_p_b_expected,community_consistency_error,llm_p_a,llm_p_b,llm_p_b_given_a,llm_p_b_given_na,llm_p_b_expected,llm_consistency_error,llm_relative_error,llm_calibrated_error
25661,Will a universal allogeneic cell therapy platform receive FDA approval before 2035?,"Will age-adjusted cancer deaths per 100,000 people in the US go down 50% or more before 2051?",0.5,0.5015,0.65,0.42,0.535,0.0335,0.34973642760383455,0.3016243583355979,0.3993530846210323,0.24906214040392016,0.3016,0.0,0.0,0.0
17735,"Will OpenAI announce that it has solved the core technical challenges of superintelligence alignment by June 30, 2027?",Will humans go extinct before 2100?,0.005,0.02,0.02,0.034,0.0339,0.0139,0.2017523551905665,0.167389910275748,0.09777916489419794,0.18498361308039543,0.1674,0.0,0.0,0.0
15159,Will there be Human-machine intelligence parity before 2040?,Will the United States place restrictions on compute capacity before 2050?,0.96,0.399,0.33,0.2,0.3248,0.0742,0.33923659908791803,0.33504912257401187,0.5367300591107765,0.23150592554314872,0.335,0.0,0.0,0.0
27182,"Before 2050, will an AI system be shut down due to exhibiting power-seeking behavior?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.9,0.01,0.19,0.05,0.176,0.166,0.5988613525280233,0.1564391334559821,0.19540582081597638,0.09826562351619152,0.1564,0.0,0.0,0.0
21876,"Will the United States remain a NATO member continuously until January 1, 2029?",Will there be a US-China war before 2035?,0.91,0.12,0.29,0.14,0.2765,0.1565,0.8503598882758707,0.7212899904896426,0.7242534774684476,0.7044493825325362,0.7213,0.0,0.0,0.0
21085,Will a Chinese fab have a volume production process that uses EUV photolithography before 2033?,Will China's GDP exceed the United States' GDP in any year before 2041?,0.97,0.63,0.75,0.5,0.7425,0.1125,0.7492495283907493,0.677010475009315,0.6674834217923087,0.7054775805123935,0.677,0.0,0.0,0.0
27188,"If, before 2050, AI kills more than 1 million people, will the policy response be insufficient?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.87,0.01,0.8,0.33,0.7389,0.7289,0.20161834181892654,0.14376197687508668,0.30215439045054604,0.10376254119849844,0.1438,0.0,0.0,0.0
18061,Will annual US inflation reach 100% in any year before 2050?,"If there's a 10% global agricultural shortfall by 2030, will this cause >400 million fatalities?",0.06,0.33,0.167,0.111,0.1144,0.2156,0.14968567850072304,0.10439013549772315,0.1491082145327855,0.09651815706298704,0.1044,0.0,0.0,0.0
36032,Will China occupy Kinmen or Matsu before 2028?,Will the People's Republic of China control at least half of Taiwan before 2050?,0.4,0.5,0.9,0.572,0.7032,0.2032,0.15195628872626302,0.18384938159581785,0.30345715909759335,0.16241752173959778,0.1838,0.0,0.0,0.0
25721,"Before 2030, will citizen science initiatives to collect plant phenomic/genomic data across the globe receive at least $10 million in investment?","Before 2035, will an open source database of agricultural uses cover 25% of known plant species?",0.53,0.25,0.43,0.22,0.3313,0.0813,0.6592571552642149,0.5752177036769421,0.7136636726915807,0.30735735943064985,0.5752,0.0,0.0,0.0
25588,Will gasified lignocellulosic biomass and microbial gas fermentation scale to 500 million tons before 2050?,Will chemicals produced from biomass achieve price parity with these three petrochemical equivalents before 2050?,0.35,0.47,0.75,0.35,0.49,0.02,0.30618117315933935,0.22422373880918403,0.3604593548767204,0.16410317254655182,0.2242,0.0,0.0,0.0
17271,Will the National Popular Vote Interstate Compact reach majority in the Electoral college before 2030?,Will the USA enter a second civil war before 2031?,0.15,0.04,0.02,0.02,0.02,0.02,0.2503214322558484,0.12223102999858756,0.12719242666636063,0.12057439477743698,0.1222,0.0,0.0,0.0
25618,"Will a bio additive for accelerating mafic rock weathering by at least 30%, which enhances its CO2 sequestration, be available before 2030 and cost less than $20 per ton of rock?",Will 0.5 Gt of atmospheric CO2 be removed annually using enhanced rock weathering before 2040?,0.1,0.13,0.6,0.2,0.24,0.11,0.3163740383012284,0.20134066672218204,0.3723745479067116,0.12218820220456747,0.2013,0.0,0.0,0.0
22224,Will the U.S. make an official statement before 2030 threatening nuclear use in the defense of Taiwan?,"Will China reach 1,000 nuclear warheads by 2030?",0.058,0.7,0.61,0.65,0.6477,0.0523,0.24597264622956586,0.3153485665894947,0.545664919180981,0.24021664672798856,0.3153,0.0,0.0,0.0
15174,Will China's GDP Overtake the US Before 2030?,Will there be a US-China war before 2035?,0.05,0.12,0.12,0.076,0.0782,0.0418,0.35120155174209894,0.2402093813699238,0.30398614452905387,0.20568633612109902,0.2402,0.0,0.0,0.0
35602,"Will the USA invade Mexico and acknowledge that invasion before January 20, 2029?","Will there be a ""World War Three"" before 2050?",0.05,0.25,0.78,0.52,0.533,0.283,0.1494724944517897,0.17149641472028196,0.15390464415247074,0.17458800883274891,0.1715,0.0,0.0,0.0
25557,Will a high fidelity fermentation test that costs under $10 be commercially available before 2035?,"Will the cost of developing a bioproduct be reduced by 100x before 2045, compared with 2024?",0.05,0.55,0.6,0.2,0.22,0.33,0.34474638745473707,0.3142749059794346,0.544335971819275,0.19323364832955328,0.3143,0.0,0.0,0.0
27179,"Before 2030, will there be an AI-caused administrative disempowerment?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.5,0.01,0.25,0.03,0.14,0.13,0.15,0.05,0.05,0.05,0.05,0.0,0.0,0.0
40107,Will there be a positive transition to a world with radically smarter-than-human artificial intelligence?,Will someone born before 2001 live to be 150?,0.5,0.32,0.85,0.05,0.45,0.13,0.15260199341050093,0.13361628025827302,0.2540933584751046,0.11192040399564726,0.1336,0.0,0.0,0.0
28255,Will the 2030 light duty pure battery electric vehicle sales share exceed 35% in the US through November 2030?,Will the retail price of electricity in the US in 2030 be below 11 cents USD (2023 dollars)?,0.29,0.15,0.2,0.2,0.2,0.05,0.29944435107231643,0.2595490918153063,0.2968941148599599,0.24358639676245167,0.2595,0.0,0.0,0.0
21880,Will Xi Jinping continue leading China in 2030?,Will there be a US-China war before 2035?,0.69,0.12,0.17,0.07,0.139,0.019,0.8484378401808432,0.1795867116267666,0.166297564828081,0.25397873019639655,0.1796,0.0,0.0,0.0
22231,Will the U.S. make an official statement before 2030 threatening nuclear use in the defense of Taiwan?,Will there be a US-China war before 2035?,0.058,0.12,0.08,0.049,0.0508,0.0692,0.741686280801607,0.3604535613481929,0.40319746402470796,0.23772463196155744,0.3605,0.0,0.0,0.0
22200,Will the U.S. deploy nuclear missiles to Japan or the Philippines before 2035?,Will there be a US-China war before 2035?,0.25,0.12,0.19,0.09,0.115,0.005,0.25141201623502624,0.19211686087181834,0.3026952420353805,0.15497929740219937,0.1921,0.0,0.0,0.0
22221,Will China make an official statement before 2030 threatening nuclear use before if there is interference with Taiwan?,"Will China reach 1,000 nuclear warheads by 2030?",0.3,0.7,0.62,0.59,0.599,0.101,0.3017500111623943,0.3437210822261124,0.552077009870372,0.25367968659777884,0.3437,0.0,0.0,0.0
18743,Will the Chinese Yuan be among the top 3 global payments currencies before 2030?,Will there be a US-China war before 2035?,0.15,0.12,0.07,0.05,0.053,0.067,0.3017298956264094,0.18712359582463403,0.2548505137475552,0.15785807844390135,0.1871,0.0,0.0,0.0
19105,Will the US unemployment rate reach 10% before 2031?,Will there be major civil unrest or rioting in America before 2031?,0.5,0.72,0.55,0.3,0.425,0.295,0.15195628872626302,0.18384938159581785,0.30345715909759335,0.16241752173959778,0.1838,0.0,0.0,0.0
28258,Will the retail price of electricity in the US in 2030 be below 11 cents USD (2023 dollars)?,Will the 2030 light duty pure battery electric vehicle sales share exceed 35% in the US through November 2030?,0.15,0.29,0.67,0.15,0.228,0.062,0.7503728548847582,0.6192091254559846,0.6230143024176361,0.6077708602029981,0.6192,0.0,0.0,0.0
27185,"Between 2023 and 2030, will revenue from deep learning double every two years?","Before 2100, will AI cause the human population to fall below 5000 individuals?",0.5,0.01,0.05,0.03,0.04,0.03,0.75,0.05,0.05,0.05,0.05,0.0,0.0,0.0
21967,Will combat troops from NATO countries be openly present in Ukraine before 2027 in significant numbers?,Will there be a direct conflict between Russia and any NATO member state before 2027?,0.1,0.096,0.2,0.02,0.038,0.058,0.20180128936219643,0.1817881941125688,0.2546902246781693,0.1633570396029346,0.1818,0.0,0.0,0.0
22228,Will China make an official statement before 2030 threatening nuclear use before if there is interference with Taiwan?,Will there be a US-China war before 2035?,0.3,0.12,0.13,0.22,0.193,0.073,0.8004149919363208,0.7201802254563896,0.7236840529683886,0.7061284883195716,0.7202,0.0,0.0,0.0
25651,Will there be an open-source repository of tools for alternative protein production before 2030?,Will alternative protein have a market share above 25% of that of meat before 2035?,0.5,0.045,0.3,0.275,0.2875,0.2425,0.35190254065048177,0.3919930907531816,0.5529224424500866,0.3046120234300337,0.392,0.0,0.0,0.0
